Case,faradaic efficiency of COER,faradaic efficiency of HER,standard reversible reduction potential of COER,standard reversible reduction potential of HER,standard reversible reduction potential of OER,anode density,cathode density,anolyte density,catholyte density,amine molecular weight,relative potential between anode and Ag (V),relative potential between cathode and Ag (V),total current density,E-Ag,cost of cathode material,cost of anode material,anolyte cost,catholyte cost,amine_cost,vapor pressure (bar),electrolyte molecular weight,electrolyte_comp,amine_comp,cation_comp,anion_comp,CO_comp,H2_comp,electrolyte_vcomp,amine_vcomp,cation_vcomp,anion_vcomp,CO_vcomp,H2_vcomp,K_electrolyte,K_amine
Ag_DMSO_MEA_Case1,0.786262483,0.263,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.0534,-2.08,2.256698144,0.72,1216.84,88266.75,0.054,0.054,0.038,0.0008,78.13,0.9769,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.8084,0.1916,1.043509934,6.24E-01
Ag_DMSO_MEA_Case2,0.830823284,0.118,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.4288,-2.1504,6.722927538,0.72,1216.84,88266.75,0.054,0.054,0.038,0.0008,78.13,0.9768,0.00542,0.00887,0.00887,0,0,0,0,0,0,0.9632,0.0368,1.043509934,6.24E-01
Ag_DMSO_MEA_Case3,0.648755345,0.254,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.7052,-2.2307,10.4527241,0.72,1216.84,88266.75,0.054,0.054,0.038,0.0008,78.13,0.9769,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.6872,0.3128,1.043509934,6.24E-01
Ag_DMSO_MEA_Case4,0.267631204,0.668,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.9601,-2.3558,13.11753945,0.72,1216.84,88266.75,0.054,0.054,0.038,0.0008,78.13,0.977,0.00522,0.00887,0.00887,0,0,0,0,0,0,0.3288,0.6712,1.043509934,6.24E-01
Ag_DMSO_MEA_Case5,0.07122224,0.701,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,2.2111,-2.6207,22.08385512,0.72,1216.84,88266.75,0.054,0.054,0.038,0.0008,78.13,0.9771,0.00512,0.00887,0.00887,0,0,0,0,0,0,0.0855,0.9145,1.043509934,6.24E-01
Ag_Water_MEA_Case1,0.0884,0.424493245,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,1.373,-1.615,3.485119097,0.72,1216.84,88266.75,1.11E-07,1.11E-07,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.1088,0.8912,1.014387482,3.45E-03
Ag_Water_MEA_Case2,0.0756,0.538210149,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,1.452,-1.712,6.006678294,0.72,1216.84,88266.75,1.11E-07,1.11E-07,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.0899,0.9101,1.014387482,3.45E-03
Ag_Water_MEA_Case3,0.026,0.85563182,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,1.653,-1.792,21.23277143,0.72,1216.84,88266.75,1.11E-07,1.11E-07,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.0284,0.9716,1.014387482,3.45E-03
Ag_Water_MEA_Case4,0.0004,0.749232518,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,1.889,-1.842,59.18223017,0.72,1216.84,88266.75,1.11E-07,1.11E-07,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.0005,0.9995,1.014387482,3.45E-03
Ag_Water_MEA_Case5,0.0001,0.95666249,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,2.232,-1.96,116.9843129,0.72,1216.84,88266.75,1.11E-07,1.11E-07,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.0001,0.9999,1.014387482,3.45E-03
