Case,faradaic efficiency of COER,faradaic efficiency of HER,standard reversible reduction potential of COER,standard reversible reduction potential of HER,standard reversible reduction potential of OER,anode density,cathode density,anolyte density,catholyte density,amine molecular weight,relative potential between anode and Ag (V),relative potential between cathode and Ag (V),total current density,E-Ag,cost of cathode material,cost of anode material,anolyte cost,catholyte cost,amine_cost,vapor pressure (bar),electrolyte molecular weight,electrolyte_comp,amine_comp,cation_comp,anion_comp,CO_comp,H2_comp,electrolyte_vcomp,amine_vcomp,cation_vcomp,anion_vcomp,CO_vcomp,H2_vcomp,K_electrolyte,K_amine,CO2 uptake,Carbonate loss
Zn_Water,0.0624,0.787566847,-0.02,0,1.23,21.45,7.14,0.997,0.997,61.08,1.177,-1.639,0.71256624,0.72,10.71,88266.75,1.11E-07,1.11E-07,0.038,0.0008,78.13,0.97884,0.00342,0.00887,0.00887,0,0,0,0,0,0,0.4,0.6,1.043509934,6.24E-01,1,0.02
Zn_Water,0.0077,0.710389693,-0.02,0,1.23,21.45,7.14,0.997,0.997,61.08,1.527,-1.71,7.350133647,0.72,10.71,88266.75,1.11E-07,1.11E-07,0.038,0.0008,78.13,0.97884,0.00342,0.00887,0.00887,0,0,0,0,0,0,0.22,0.78,1.043509934,6.24E-01,1,0.02
Zn_Water,0.0002,0.87687979,-0.02,0,1.23,21.45,7.14,0.997,0.997,61.08,2.018,-1.832,70.81814604,0.72,10.71,88266.75,1.11E-07,1.11E-07,0.038,0.0008,78.13,0.97794,0.00432,0.00887,0.00887,0,0,0,0,0,0,0.18,0.817282143,1.043509934,6.24E-01,1,0.02
Zn_Water,0.0003,0.895850788,-0.02,0,1.23,21.45,7.14,0.997,0.997,61.08,2.46,-1.923,143.6687791,0.72,10.71,88266.75,1.11E-07,1.11E-07,0.038,0.0008,78.13,0.97694,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.34,0.656544444,1.043509934,6.24E-01,1,0.02
Zn_Water,0.0002,0.945640378,-0.02,0,1.23,21.45,7.14,0.997,0.997,61.08,2.636,-2.1,302.8594494,0.72,10.71,88266.75,1.11E-07,1.11E-07,0.038,0.0008,78.13,0.97814,0.00412,0.00887,0.00887,0,0,0,0,0,0,0.42,0.579237894,1.043509934,6.24E-01,1,0.02
Zn_DMSO_MEA_Case1,0.677,0.304,-0.02,0,1.23,21.45,7.14,1.1,1.1,61.08,1.039,-2.08,2.346257191,0.72,10.71,88266.75,0.054,0.054,0.038,0.0008,78.13,0.97894,0.00332,0.00887,0.00887,0,0,0,0,0,0,0.31,0.694362736,1.043509934,6.24E-01,1,0.02
Zn_DMSO_MEA_Case2,0.695,0.168,-0.02,0,1.23,21.45,7.14,1.1,1.1,61.08,1.411,-2.1504,4.820786228,0.72,10.71,88266.75,0.054,0.054,0.038,0.0008,78.13,0.97794,0.00432,0.00887,0.00887,0,0,0,0,0,0,0.6,0.400571502,1.043509934,6.24E-01,1,0.02
Zn_DMSO_MEA_Case3,0.808,0.11,-0.02,0,1.23,21.45,7.14,1.1,1.1,61.08,1.878,-2.2307,13.7109811,0.72,10.71,88266.75,0.054,0.054,0.038,0.0008,78.13,0.97526,0.007,0.00887,0.00887,0,0,0,0,0,0,0.77,0.225511045,1.043509934,6.24E-01,1,0.02
Zn_DMSO_MEA_Case4,0.743,0.109,-0.02,0,1.23,21.45,7.14,1.1,1.1,61.08,2.167,-2.3558,19.25697334,0.72,10.71,88266.75,0.054,0.054,0.038,0.0008,78.13,0.97694,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.65,0.347587122,1.043509934,6.24E-01,1,0.02
Zn_DMSO_MEA_Case5,0.408,0.338,-0.02,0,1.23,21.45,7.14,1.1,1.1,61.08,2.317,-2.6207,14.63667479,0.72,10.71,88266.75,0.054,0.054,0.038,0.0008,78.13,0.97776,0.0045,0.00887,0.00887,0,0,0,0,0,0,0.63,0.368079265,1.043509934,6.24E-01,1,0.02
